time_step,L_raw,H_raw,L_log_norm,H_log_norm
33,2.933693148505561e+76,8.447500184153438e+252,-0.22919979194045145,4.343330909353833e-13
34,4.550237994413676e+76,8.447500184153438e+252,-0.03858036604489093,4.343330909353833e-13
35,4.972954418015035e+76,8.447500184153438e+252,4.343330909353833e-13,4.343330909353833e-13
36,2.162755115426934e+76,8.447500184153438e+252,-0.36160713061655253,4.343330909353833e-13
37,6.509355318332762e+75,8.447500184153438e+252,-0.8830765000156618,4.343330909353833e-13
38,8.123025175405468e+75,8.447500184153438e+252,-0.786896679284649,4.343330909353833e-13
39,1.300935242260087e+76,8.447500184153438e+252,-0.5823587996551152,4.343330909353833e-13
40,4.247157074453123e+75,8.447500184153438e+252,-1.0685161555232454,4.343330909353833e-13
41,4.947822578451125e+75,8.447500184153438e+252,-1.0022003604299807,4.343330909353833e-13
