time_step,L_raw,L_log,H_raw,H_log
33,2.933693148505561e+76,176.07272915710413,8.447500184153438e+252,582.3853139959056
34,4.550237994413676e+76,176.51164660560693,8.447500184153438e+252,582.3853139959056
35,4.972954418015035e+76,176.60048118134526,8.447500184153438e+252,582.3853139959056
36,2.162755115426934e+76,175.76784999286494,8.447500184153438e+252,582.3853139959056
37,6.509355318332762e+75,174.5671223964282,8.447500184153438e+252,582.3853139959056
38,8.123025175405468e+75,174.7885846178918,8.447500184153438e+252,582.3853139959056
39,1.300935242260087e+76,175.25955049048164,8.447500184153438e+252,582.3853139959056
40,4.247157074453123e+75,174.1401318100024,8.447500184153438e+252,582.3853139959056
41,4.947822578451125e+75,174.29282957121586,8.447500184153438e+252,582.3853139959056
